group	fill
1	#003A00
2	#003800
3	#003500
4	#002F00
5	#002A00
6	#001F00
7	#1B1100
8	#BB0100
9	#9F0000
10	#7F0000
11	#670000
12	#660000
13	#660000
14	#660000
15	#660000
16	#660000
17	#660000
18	#660000
19	#660000
20	#660000
21	#7B0000
22	#980000
23	#BA0000
24	#9D0E00
25	#001D00
26	#012201
27	#012201
28	#001D02
29	#341302
30	#CD0904
31	#B70404
32	#A90505
33	#9E0606
34	#9A0606
35	#980606
36	#A10606
37	#AE0606
38	#C30706
39	#231908
40	#08330C
41	#104D10
42	#136713
43	#158115
44	#1A9C1A
45	#23C223
46	#3CCD3D
47	#278C44
48	#CC4556
49	#F74A6F
50	#DD4C87
51	#C5509E
52	#B653B3
53	#A554CC
54	#9554E8
55	#8957AF
56	#7D588E
57	#74599E
58	#705BA9
59	#6C2E29
60	#682216
61	#651F1E
62	#611B23
63	#611427
64	#64413C
65	#675C69
66	#649864
67	#619F61
68	#609560
69	#5C8A5C
70	#608560
71	#658565
72	#648064
73	#668366
74	#678367
75	#688768
76	#678F67
77	#67A469
78	#635A4A
79	#672815
80	#78616C
81	#8B5D93
82	#9C5BCF
83	#AF5BD7
84	#C05BBC
85	#D159AA
86	#DC57A0
87	#E65899
88	#EB5690
89	#EF558A
90	#F35485
91	#F35281
92	#F6537E
93	#F7527C
94	#FA537A
95	#FE5377
96	#FF5274
97	#B3526D
98	#9B5168
99	#1B5263
100	#07515D
101	#0E5459
102	#142755
103	#171251
104	#181250
105	#181150
106	#181251
107	#142155
108	#0A5259
109	#1D5160
110	#CD5168
111	#FA5272
112	#EB517B
113	#E7507F
114	#E15083
115	#DE5086
116	#DD4F87
117	#E14E80
118	#E84E78
119	#F64E6F
120	#9C4E66
121	#42515A
122	#0C2250
123	#32094D
124	#4F604D
125	#4D6F4D
126	#50494F
127	#3D0750
128	#191856
129	#125264
130	#0E5D72
131	#B85C7E
132	#FE5B8A
133	#E8578F
134	#D95596
135	#D0559E
136	#CF57A4
137	#C854A5
138	#C04FA1
139	#BB4CA1
140	#BB4DA4
141	#003A00
142	#003800
143	#003500
144	#003000
